Day,Hour,Elevation Angle,Intensity,Absorbed Photons,Exciton Generation Rate,Final_Exciton_Rate_After_CMC,Excitonic Energy,Usable Electric Energy
4,13,36.63424801297386,1213685.9519080378,1.988873503053217e+25,1.988873503053217e+25,8.022738919144565e+24,19293.661634054035,13293.332865863229
4,14,33.20595108648113,1022799.6128829387,1.6760670631459195e+25,1.6760670631459195e+25,6.760937001752244e+24,16259.189306246584,11202.581432003895
4,15,26.616013000049158,685485.2771671555,1.1233083009221055e+25,1.1233083009221055e+25,4.5312128751130495e+24,10896.987785017187,7508.0245838768415
4,16,17.732105746498462,318546.0121429126,5.220030124418148e+24,5.220030124418148e+24,2.1056612586967501e+24,5063.846181543598,3488.9900190835383
4,17,7.30164619795751,58095.68315630208,9.52016991625353e+23,9.52016991625353e+23,3.840256184555986e+23,923.5325262311636,636.3139105732716
4,18,-4.147502410499882,0.0,0.0,0.0,0.0,0.0,0.0
4,19,-16.26631667332518,0.0,0.0,0.0,0.0,0.0,0.0
4,20,-28.821829409242596,0.0,0.0,0.0,0.0,0.0,0.0
4,21,-41.64549955920879,0.0,0.0,0.0,0.0,0.0,0.0
4,22,-54.58443740069842,0.0,0.0,0.0,0.0,0.0,0.0
4,23,-67.39664609383829,0.0,0.0,0.0,0.0,0.0,0.0
5,0,-79.05081832164495,0.0,0.0,0.0,0.0,0.0,0.0
5,1,-80.67956874018034,0.0,0.0,0.0,0.0,0.0,0.0
5,2,-69.6931076236585,0.0,0.0,0.0,0.0,0.0,0.0
5,3,-56.95806313572234,0.0,0.0,0.0,0.0,0.0,0.0
5,4,-44.015102140505405,0.0,0.0,0.0,0.0,0.0,0.0
5,5,-31.153942651672565,0.0,0.0,0.0,0.0,0.0,0.0
5,6,-18.531807571698437,0.0,0.0,0.0,0.0,0.0,0.0
5,7,-6.310011693299472,0.0,0.0,0.0,0.0,0.0,0.0
5,8,5.294289741988067,31939.62603473382,5.2339631861145614e+23,5.2339631861145614e+23,2.1112815918231688e+23,507.7362364321654,349.83026690176195
5,9,15.958356614915374,260198.15449484557,4.26388073623643e+24,4.26388073623643e+24,1.719968709758585e+24,4136.304900568915,2849.9140764919825
5,10,25.19203892670454,619086.9442370338,1.014501006247551e+25,1.014501006247551e+25,4.09230486194263e+24,9841.470114564572,6780.77290893499
5,11,32.28637696329248,973145.1657676023,1.594698061534593e+25,1.594698061534593e+25,6.432709864613066e+24,15469.84499541953,10658.723201844055
