Simulated Date,Simulated Day,Hour of Day,Solar Declination Angle,Solar Elevation Angle (degrees),Sunlight Intensity (W/m^2)
2023-01-05 16:00:00,4,16,-22.646601538006347,7.404627478649576,0.12887568821952125
2023-01-05 17:00:00,4,17,-22.646601538006347,-2.697388411703089,-0.047060920446639766
2023-01-05 18:00:00,4,18,-22.646601538006347,-13.642567377932984,-0.2358641577209423
2023-01-05 19:00:00,4,19,-22.646601538006347,-25.129612418397887,-0.42466739499524503
2023-01-05 20:00:00,4,20,-22.646601538006347,-36.91316848031901,-0.6006040036614059
2023-01-05 21:00:00,4,21,-22.646601538006347,-48.736479382480205,-0.7516841945878192
2023-01-05 22:00:00,4,22,-22.646601538006347,-60.182325038317266,-0.8676121024346702
2023-01-05 23:00:00,4,23,-22.646601538006347,-70.13357598304107,-0.9404874318621218
2023-01-06 00:00:00,5,0,-22.538493431805453,-74.76359343180546,-0.9648497008683206
2023-01-06 01:00:00,5,1,-22.538493431805453,-70.04715020866166,-0.9399737599704097
2023-01-06 02:00:00,5,2,-22.538493431805453,-60.116606301939896,-0.8670411915394337
2023-01-06 03:00:00,5,3,-22.538493431805453,-48.67900432010761,-0.7510222295871956
2023-01-06 04:00:00,5,4,-22.538493431805453,-36.85724883331011,-0.5998233746403402
2023-01-06 05:00:00,5,5,-22.538493431805453,-25.071478207707408,-0.42374857879557437
2023-01-06 06:00:00,5,6,-22.538493431805453,-13.579659778685635,-0.23479704841236013
2023-01-06 07:00:00,5,7,-22.538493431805453,-2.6276757212637096,-0.045845518029146055
2023-01-06 08:00:00,5,8,-22.538493431805453,7.4828416003578395,0.1302292778156201
2023-01-06 09:00:00,5,9,-22.538493431805453,16.345458635096165,0.28142813276247525
2023-01-06 10:00:00,5,10,-22.538493431805453,23.418680745667245,0.3974470947147134
2023-01-06 11:00:00,5,11,-22.538493431805453,28.058944111674084,0.4703796631456895
2023-01-06 12:00:00,5,12,-22.538493431805453,29.686606568194556,0.49525560404360025
2023-01-06 13:00:00,5,13,-22.538493431805453,28.058944111674084,0.4703796631456895
2023-01-06 14:00:00,5,14,-22.538493431805453,23.418680745667245,0.3974470947147134
2023-01-06 15:00:00,5,15,-22.538493431805453,16.345458635096165,0.28142813276247525
2023-01-06 16:00:00,5,16,-22.538493431805453,7.4828416003578395,0.1302292778156201
2023-01-06 17:00:00,5,17,-22.538493431805453,-2.6276757212637096,-0.045845518029146055
2023-01-06 18:00:00,5,18,-22.538493431805453,-13.579659778685635,-0.23479704841236013
2023-01-06 19:00:00,5,19,-22.538493431805453,-25.071478207707408,-0.42374857879557437
2023-01-06 20:00:00,5,20,-22.538493431805453,-36.85724883331011,-0.5998233746403402
2023-01-06 21:00:00,5,21,-22.538493431805453,-48.67900432010761,-0.7510222295871956
2023-01-06 22:00:00,5,22,-22.538493431805453,-60.116606301939896,-0.8670411915394337
2023-01-06 23:00:00,5,23,-22.538493431805453,-70.04715020866166,-0.9399737599704097
2023-01-07 00:00:00,6,0,-22.423706683580185,-74.64880668358018,-0.964321265032906
2023-01-07 01:00:00,6,1,-22.423706683580185,-69.95516429144783,-0.9394246918260816
2023-01-07 02:00:00,6,2,-22.423706683580185,-60.04658318940165,-0.8664316325261211
2023-01-07 03:00:00,6,3,-22.423706683580185,-48.61779664006033,-0.7503164434975824
2023-01-07 04:00:00,6,4,-22.423706683580185,-36.797752116302135,-0.598992182983338
2023-01-07 05:00:00,6,5,-22.423706683580185,-25.009678405629572,-0.4227713492622696
2023-01-07 06:00:00,6,6,-22.423706683580185,-13.512830251945624,-0.23366310093377027
2023-01-07 07:00:00,6,7,-22.423706683580185,-2.553650376884507,-0.04455485260527112
2023-01-07 08:00:00,6,8,-22.423706683580185,7.565873608242143,0.1316659811157976
2023-01-07 09:00:00,6,9,-22.423706683580185,16.43875304041155,0.2829902416300418
2023-01-07 10:00:00,6,10,-22.423706683580185,23.522266533714994,0.3991054306585804
2023-01-07 11:00:00,6,11,-22.423706683580185,28.170600500524127,0.4720984899585411
2023-01-07 12:00:00,6,12,-22.423706683580185,29.80139331641982,0.49699506316536546
2023-01-07 13:00:00,6,13,-22.423706683580185,28.170600500524127,0.4720984899585411
2023-01-07 14:00:00,6,14,-22.423706683580185,23.522266533714994,0.3991054306585804
2023-01-07 15:00:00,6,15,-22.423706683580185,16.43875304041155,0.2829902416300418
2023-01-07 16:00:00,6,16,-22.423706683580185,7.565873608242143,0.1316659811157976
2023-01-07 17:00:00,6,17,-22.423706683580185,-2.553650376884507,-0.04455485260527112
2023-01-07 18:00:00,6,18,-22.423706683580185,-13.512830251945624,-0.23366310093377027
2023-01-07 19:00:00,6,19,-22.423706683580185,-25.009678405629572,-0.4227713492622696
2023-01-07 20:00:00,6,20,-22.423706683580185,-36.797752116302135,-0.598992182983338
2023-01-07 21:00:00,6,21,-22.423706683580185,-48.61779664006033,-0.7503164434975824
2023-01-07 22:00:00,6,22,-22.423706683580185,-60.04658318940165,-0.8664316325261211
2023-01-07 23:00:00,6,23,-22.423706683580185,-69.95516429144783,-0.9394246918260816
