,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Day,Hour,Declination Angle,Elevation Angle,Air Mass Coeff,Sunlight Intensity Post Intake,Absorbed Photons,exciton_generation_rate,Final_Exciton_Rate_After_CMC,Excitonic Energy,Usable Electric Energy
13,13,13,13,13,1,13,-23.055478231881605,36.33266097805736,1.684719319317966,1196571.8217471985,1.960828488647978e+25,1.960828488647978e+25,7.909610644163036e+24,19021.602592779567,13105.88418642512
14,14,14,14,14,1,14,-23.05231399674873,32.84305164671445,1.839576067906329,1003117.3497170928,1.6438136357834864e+25,1.6438136357834864e+25,6.630832786185412e+24,15946.305297729186,10987.004350135408
15,15,15,15,15,1,15,-23.04913646636201,26.221063298398207,2.254534525689479,666809.8769078373,1.092704825058948e+25,1.092704825058948e+25,4.407764251310912e+24,10600.109623976141,7303.475530919561
16,16,16,16,16,1,16,-23.045945643232614,17.325813720164902,3.325462803797964,304703.9044758491,4.993198783722871e+24,4.993198783722871e+24,2.0141617931810168e+24,4843.801662439941,3337.3793454211186
17,17,17,17,17,1,17,-23.04274152988269,6.895385275198748,7.831789305043594,52158.39153387604,8.547222839690701e+23,8.547222839690701e+23,3.44778776635716e+23,829.1488881856675,571.2835839599248
18,18,18,18,18,1,18,-23.0395241288454,-4.548474982962588,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,19,19,19,1,19,-23.03629344266492,-16.660163871797792,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20,20,20,20,1,20,-23.033049473896348,-29.20873180500311,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21,21,21,21,1,21,-23.02979222510584,-42.02732580001626,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,22,22,22,1,22,-23.02652169887047,-54.965592683197855,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,23,23,23,1,23,-23.023237897778326,-67.78728266622363,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24,24,24,24,2,0,-23.019940824428428,-79.4616111203103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25,25,25,25,2,1,-23.016630481430774,-80.72817130169872,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,26,26,26,26,2,2,-23.013306871406314,-69.54231011194835,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,27,27,27,27,2,3,-23.009969996986943,-56.77445984476475,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,28,28,28,28,2,4,-23.00661986081551,-43.831363130902616,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,29,29,29,29,2,5,-23.0032564655458,-30.983202514615527,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,30,30,30,30,2,6,-22.999879813842536,-18.38306741166285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,31,31,31,31,2,7,-22.99648990838136,-6.192120526874987,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,32,32,32,32,2,8,-22.993086751848832,5.370784652968197,9.712530014766813,32790.24573820816,5.373354680821694e+23,5.373354680821694e+23,2.1675094800155493e+23,521.2583248375661,359.146985813083
33,33,33,33,33,2,9,-22.98967034694246,15.979990095744585,3.590635094586906,260876.91139233203,4.2750035609367e+24,4.2750035609367e+24,1.7244554465207113e+24,4147.094928987137,2857.348406072137
34,34,34,34,34,2,10,-22.986240696370643,25.142173945219653,2.343683543798776,616809.4403143463,1.0107688486842112e+25,1.0107688486842112e+25,4.077250045389531e+24,9805.265205061021,6755.827726287043
35,35,35,35,35,2,11,-22.98279780285268,32.147935166458744,1.8747347441778777,965733.6724233272,1.582552808714198e+25,1.582552808714198e+25,6.38371821565427e+24,15352.026341786193,10577.546149490687
36,36,36,36,36,2,12,-22.9793416691188,36.1372183485791,1.6925410765339084,1185510.9657843902,1.9427030062602705e+25,1.9427030062602705e+25,7.836495882084455e+24,18845.770935509467,12984.736174566022
37,37,37,37,37,2,13,-22.97587229791008,36.4259338414624,1.6810186590978824,1201858.850317431,1.969492369956556e+25,1.969492369956556e+25,7.944559099989148e+24,19105.64916192974,13163.79227256959
38,38,38,38,38,2,14,-22.97238969197855,32.95742945414048,1.8339418658771705,1009308.7699358736,1.65395954840614e+25,1.65395954840614e+25,6.671759475561607e+24,16044.7287544295,11054.818111801924
39,39,39,39,39,2,15,-22.96889385408708,26.347074238495303,2.2446106465700733,672747.1171047533,1.1024342115533242e+25,1.1024342115533242e+25,4.447010753196529e+24,10694.492444523179,7368.50529427647
40,40,40,40,40,2,16,-22.965384787009427,17.456578841015244,3.30183809690056,309128.4141630807,5.06570345486208e+24,5.06570345486208e+24,2.043408803917262e+24,4914.136984907699,3385.8403826014046
41,41,41,41,41,2,17,-22.96186249353024,7.027002444247941,7.701785721512009,54046.16447020308,8.856573175907357e+23,8.856573175907357e+23,3.572573831343487e+23,859.1583417993965,591.9600974997841
42,42,42,42,42,2,18,-22.95832697644501,-4.417906473631817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,43,43,43,43,2,19,-22.95477823856013,-16.53140353928984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,44,44,44,44,2,20,-22.95121628269281,-29.081863208009835,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,45,45,45,45,2,21,-22.94764111167113,-41.90188725370163,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,46,46,46,46,2,22,-22.944052728334025,-54.84035342202034,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,47,47,47,47,2,23,-22.94045113553125,-67.65937299181385,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,48,48,48,48,3,0,-22.9368363361234,-79.32936446160113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,49,49,49,49,3,1,-22.93320833298192,-80.72056920466974,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,50,50,50,50,3,2,-22.92956712898904,-69.5974557565996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,51,51,51,51,3,3,-22.92591272703785,-56.83961526705164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,52,52,52,52,3,4,-22.922245130032223,-43.89641013394049,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,53,53,53,53,3,5,-22.91856434088684,-31.044053562306573,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,54,54,54,54,3,6,-22.9148703625272,-18.436882412752013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,55,55,55,55,3,7,-22.911163197889568,-6.236067954831256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,56,56,56,56,3,8,-22.90744284992104,5.340117071272616,9.759141088559932,32447.83570640042,5.3172437702215175e+23,5.3172437702215175e+23,2.144875401700885e+23,515.8151183116784,355.39661651674635
57,57,57,57,57,3,9,-22.903709321579427,15.967000393887773,3.593407518633396,260469.2569547224,4.268323306394006e+24,4.268323306394006e+24,1.72176075839564e+24,4140.614548481376,2852.883423903668
58,58,58,58,58,3,10,-22.89996261583339,25.152356710893883,2.342805506147165,617274.2544805743,1.0115305420840574e+25,1.0115305420840574e+25,4.080322572261663e+24,9812.654239458114,6760.91877098664
59,59,59,59,59,3,11,-22.89620273566232,32.18704033261018,1.8727140128232047,967825.4308129424,1.5859805841031735e+25,1.5859805841031735e+25,6.3975452121812e+24,15385.278501066765,10600.456887235001
60,60,60,60,60,3,12,-22.89242968405637,36.208492066158826,1.68967801000733,1189541.8535914605,1.9493084431450417e+25,1.9493084431450417e+25,7.863140963077315e+24,18909.848949523042,13028.885926221375
61,61,61,61,61,3,13,-22.88864346401647,36.52647680823596,1.6770526031601345,1207563.9325486082,1.9788413179809526e+25,1.9788413179809526e+25,7.982270985160951e+24,19196.341425434763,13226.27924212455
62,62,62,62,62,3,14,-22.88484407855429,33.07841538760181,1.8280273057349576,1015869.9479560212,1.6647113850674872e+25,1.6647113850674872e+25,6.715130347717556e+24,16149.030158299678,11126.681779068478
63,63,63,63,63,3,15,-22.88103153069227,26.478748554346325,2.2343445274647618,678972.5205136923,1.1126358126070325e+25,1.1126358126070325e+25,4.488162079153423e+24,10793.456123487025,7436.69126908256
64,64,64,64,64,3,16,-22.87720582346353,17.592037237923265,3.2777302099240835,313742.3597514025,5.141312421998233e+24,5.141312421998233e+24,2.0739080288477727e+24,4987.483722454646,3436.376284771251
65,65,65,65,65,3,17,-22.873366959912,7.162451983533728,7.572270664703676,56024.67933101963,9.180793438644087e+23,9.180793438644087e+23,3.703358142977189e+23,890.6102970622305,613.6304946758768
66,66,66,66,66,3,18,-22.86951494309229,-4.284219630720997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,67,67,67,67,3,19,-22.865649776069755,-16.400092780898447,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,68,68,68,68,3,20,-22.86177146192044,-28.95286917444168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,69,69,69,69,3,21,-22.85788000373113,-41.77458784582899,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,70,70,70,70,3,22,-22.8539754045993,-54.7132810661046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,71,71,71,71,3,23,-22.85005766763312,-67.52914361197872,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,72,72,72,72,4,0,-22.84612679595145,-79.1924014928592,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,73,73,73,73,4,1,-22.842182792683843,-80.70442209747864,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,74,74,74,74,4,2,-22.83822566097053,-69.64777961683691,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,75,75,75,75,4,3,-22.834255403962405,-56.90085918696505,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,76,76,76,76,4,4,-22.83027202482105,-43.95769077482723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,77,77,77,77,4,5,-22.826275526718668,-31.10099511743437,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,78,78,78,78,4,6,-22.822265912838155,-18.486485328837063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,79,79,79,79,4,7,-22.81824318637305,-6.275382689134148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,80,80,80,80,4,8,-22.814207350527493,5.314606490645744,9.798236929761512,32164.420123947897,5.2708003108236354e+23,5.2708003108236354e+23,2.1261409900513203e+23,511.3097317732077,352.2924051917401
81,81,81,81,81,4,9,-22.810158408516305,15.959782696146805,3.594949912989075,260242.87289037145,4.264613538917557e+24,4.264613538917557e+24,1.7202643084772017e+24,4137.01577770376,2850.4038708378907
82,82,82,82,82,4,10,-22.80609636356492,25.16897773930277,2.341373871974902,618033.2519754262,1.0127743152397257e+25,1.0127743152397257e+25,4.08533971753875e+24,9824.719832557998,6769.2319646324595
83,83,83,83,83,4,11,-22.80202121890939,32.233192554930056,1.8703358177312253,970295.905172456,1.590028963328363e+25,1.590028963328363e+25,6.413875607009993e+24,15424.551013278948,10627.515648149194
