,Day,Hour,Declination Angle,Elevation Angle,Air Mass Coeff,Sunlight Intensity Post Intake
34,2,10,-22.986240696370643,25.142173945219653,2.3436835437987757,616809.4403143463
35,2,11,-22.98279780285268,32.147935166458744,1.8747347441778777,965733.6724233272
36,2,12,-22.979341669118796,36.1372183485791,1.6925410765339084,1185510.9657843902
37,2,13,-22.97587229791008,36.425933841462395,1.6810186590978824,1201858.850317431
38,2,14,-22.97238969197855,32.95742945414048,1.8339418658771705,1009308.7699358735
39,2,15,-22.968893854087078,26.347074238495303,2.2446106465700733,672747.1171047533
40,2,16,-22.965384787009427,17.456578841015244,3.3018380969005596,309128.4141630807
41,2,17,-22.961862493530237,7.027002444247941,7.701785721512009,54046.164470203075
42,2,18,-22.958326976445015,-4.417906473631817,0.0,0.0
43,2,19,-22.95477823856013,-16.53140353928984,0.0,0.0
44,2,20,-22.951216282692815,-29.081863208009835,0.0,0.0
45,2,21,-22.947641111671135,-41.90188725370163,0.0,0.0
46,2,22,-22.944052728334025,-54.84035342202034,0.0,0.0
47,2,23,-22.94045113553125,-67.65937299181385,0.0,0.0
48,3,0,-22.936836336123402,-79.32936446160113,0.0,0.0
49,3,1,-22.93320833298192,-80.72056920466974,0.0,0.0
50,3,2,-22.92956712898904,-69.5974557565996,0.0,0.0
51,3,3,-22.92591272703785,-56.83961526705164,0.0,0.0
52,3,4,-22.922245130032223,-43.89641013394049,0.0,0.0
53,3,5,-22.918564340886842,-31.044053562306573,0.0,0.0
54,3,6,-22.914870362527196,-18.436882412752013,0.0,0.0
55,3,7,-22.911163197889568,-6.236067954831256,0.0,0.0
56,3,8,-22.907442849921033,5.340117071272616,9.759141088559932,32447.83570640042
57,3,9,-22.903709321579427,15.967000393887773,3.593407518633396,260469.25695472237
58,3,10,-22.89996261583339,25.152356710893883,2.342805506147165,617274.2544805743
59,3,11,-22.896202735662317,32.18704033261018,1.8727140128232054,967825.4308129423
60,3,12,-22.89242968405637,36.208492066158826,1.6896780100073299,1189541.8535914605
61,3,13,-22.88864346401647,36.526476808235955,1.6770526031601343,1207563.9325486082
62,3,14,-22.884844078554295,33.07841538760181,1.8280273057349579,1015869.9479560212
63,3,15,-22.88103153069227,26.478748554346325,2.2343445274647618,678972.5205136923
64,3,16,-22.877205823463534,17.592037237923265,3.2777302099240835,313742.3597514025
65,3,17,-22.873366959912,7.162451983533728,7.572270664703676,56024.67933101963
66,3,18,-22.869514943092295,-4.284219630720997,0.0,0.0
67,3,19,-22.865649776069755,-16.400092780898447,0.0,0.0
68,3,20,-22.86177146192044,-28.952869174441673,0.0,0.0
69,3,21,-22.85788000373113,-41.77458784582899,0.0,0.0
70,3,22,-22.8539754045993,-54.7132810661046,0.0,0.0
71,3,23,-22.850057667633116,-67.52914361197872,0.0,0.0
72,4,0,-22.84612679595145,-79.1924014928592,0.0,0.0
73,4,1,-22.842182792683843,-80.70442209747864,0.0,0.0
74,4,2,-22.838225660970526,-69.64777961683691,0.0,0.0
75,4,3,-22.834255403962405,-56.90085918696505,0.0,0.0
76,4,4,-22.83027202482105,-43.95769077482723,0.0,0.0
77,4,5,-22.826275526718668,-31.100995117434366,0.0,0.0
78,4,6,-22.822265912838155,-18.486485328837063,0.0,0.0
79,4,7,-22.818243186373046,-6.2753826891341475,0.0,0.0
80,4,8,-22.814207350527493,5.314606490645744,9.798236929761512,32164.420123947897
81,4,9,-22.810158408516305,15.959782696146803,3.594949912989075,260242.87289037145
82,4,10,-22.806096363564922,25.168977739302775,2.341373871974902,618033.2519754262
83,4,11,-22.80202121890939,32.233192554930056,1.8703358177312255,970295.9051724559
84,4,12,-22.797932977796375,36.287152924071776,1.6865323988962757,1193994.2165500151
85,4,13,-22.79383164348315,36.63424801297386,1.6728277619648526,1213685.9519080378
86,4,14,-22.789717219237605,33.20595108648113,1.821842275333077,1022799.6128829387
87,4,15,-22.785589708338204,26.616013000049158,2.2237538354998936,685485.2771671555
88,4,16,-22.78144911407402,17.732105746498462,3.253183611386544,318546.0121429126
89,4,17,-22.777295439744698,7.30164619795751,7.44348416066935,58095.68315630208
90,4,18,-22.773128688660456,-4.147502410499882,0.0,0.0
91,4,19,-22.768948864142093,-16.26631667332518,0.0,0.0
92,4,20,-22.764755969520948,-28.821829409242596,0.0,0.0
93,4,21,-22.760550008138942,-41.64549955920879,0.0,0.0
94,4,22,-22.756330983348544,-54.58443740069842,0.0,0.0
95,4,23,-22.752098898512738,-67.39664609383829,0.0,0.0
96,5,0,-22.74785375700508,-79.05081832164495,0.0,0.0
97,5,1,-22.743595562209624,-80.67956874018034,0.0,0.0
98,5,2,-22.739324317520975,-69.6931076236585,0.0,0.0
99,5,3,-22.73504002634423,-56.95806313572234,0.0,0.0
100,5,4,-22.73074269209501,-44.015102140505405,0.0,0.0
101,5,5,-22.72643231819943,-31.153942651672565,0.0,0.0
102,5,6,-22.722108908094107,-18.531807571698437,0.0,0.0
103,5,7,-22.717772465226133,-6.310011693299472,0.0,0.0
104,5,8,-22.71342299305311,5.294289741988067,9.829585010256688,31939.62603473382
105,5,9,-22.709060495043083,15.958356614915374,3.595254822155936,260198.15449484557
106,5,10,-22.704684974674585,25.19203892670454,2.339390721622741,619086.9442370338
107,5,11,-22.700296435436606,32.28637696329248,1.8676042003750788,973145.1657676023
108,5,12,-22.69589488082858,36.373171103853416,1.6831095156249847,1198867.4184208072
109,5,13,-22.6914803143604,36.74920254825171,1.6683511049672275,1220223.6702929814
110,5,14,-22.687052739552406,33.33997503145378,1.815396965756155,1030096.3648398722
111,5,15,-22.682612159935342,26.758791279964377,2.2128564247747557,692284.463988728
112,5,16,-22.678158579050415,17.876698589523414,3.228242128712067,323539.5596057889
113,5,17,-22.67369200044922,7.4444954407941,7.31564594096404,60260.875779709764
114,5,18,-22.669212427693783,-4.00784395230589,0.0,0.0
115,5,19,-22.664719864356535,-16.130160655655075,0.0,0.0
116,5,20,-22.660214314020283,-28.688823103893967,0.0,0.0
117,5,21,-22.655695780278258,-41.514692874963345,0.0,0.0
118,5,22,-22.651164266734046,-54.45388146545139,0.0,0.0
119,5,23,-22.646619777001625,-67.26192739761453,0.0,0.0
120,6,0,-22.64206231470535,-78.90470302995561,0.0,0.0
121,6,1,-22.637491883479903,-80.64586339611051,0.0,0.0
122,6,2,-22.63290848697036,-69.73326371304978,0.0,0.0
123,6,3,-22.628312128832135,-57.01109740458381,0.0,0.0
124,6,4,-22.62370281273097,-44.06854114264078,0.0,0.0
125,6,5,-22.61908054234294,-31.20281230137543,0.0,0.0
126,6,6,-22.614445321354452,-18.572781898864065,0.0,0.0
127,6,7,-22.609797153462246,-6.339903845314609,0.0,0.0
128,6,8,-22.605136042373353,5.279201273381801,9.85298868665447,31773.2075832062
129,6,9,-22.600461991805116,15.962739028133171,3.594317991596517,260335.58756937436
130,6,10,-22.59577500548517,25.221539233723675,2.336859245595064,620435.8724234914
131,6,11,-22.59107508715144,32.34657571298112,1.8645238143566654,976373.2464271784
132,6,12,-22.586362240552145,36.466513844460394,1.679415056970148,1204160.7300504427
133,6,13,-22.58163646944576,36.87129249439984,1.6636299351907782,1227175.7212844018
134,6,14,-22.576897777601037,33.48042256886012,1.8087018359975249,1037758.6664197206
135,6,15,-22.572146168796994,26.90700407538573,2.2016702772000825,699369.0351385579
136,6,16,-22.567381646822877,18.0257274116494,3.2029488200455853,328723.0978853152
137,6,17,-22.562604215478206,7.590908154420234,7.188955921692136,62521.900576874374
138,6,18,-22.557813878572716,-3.865334538227131,0.0,0.0
139,6,19,-22.55301063992639,-15.991710497329734,0.0,0.0
140,6,20,-22.548194503369412,-28.5539289217742,0.0,0.0
141,6,21,-22.54336547274219,-41.38223678817724,0.0,0.0
142,6,22,-22.53852355189534,-54.32166962572515,0.0,0.0
143,6,23,-22.533668744689685,-67.12503007593881,0.0,0.0
144,7,0,-22.52880105499623,-78.75413610639524,0.0,0.0
145,7,1,-22.52392048669616,-80.60317737986546,0.0,0.0
146,7,2,-22.51902704368083,-69.76807044076347,0.0,0.0
147,7,3,-22.514120729851793,-57.05983131449901,0.0,0.0
148,7,4,-22.509201549120732,-44.117904682512744,0.0,0.0
