Simulated Date,Simulated Day,Hour of Day,Solar Declination Angle,Solar Elevation Angle (degrees),Sunlight Intensity (W/m^2),Concentration Factor,Intensity * Concentration factor (funnel),Absorbed Intensity by QPA,# of photons,Rate of exciton generation,Final_Exciton_Rate_After_CMC,Excitonic Energy,Usable Electric Energy
2023-01-03 15:00:00,2,15,-22.85551263610865,21.53091874595228,0.3670032582135576,100,36.70032582135576,4.966848989909153,1.7490479345118351e+19,1.7490479345118351e+19,7.055328010613076e+18,0.01696716205349813,0.01696716205349813
2023-01-03 16:00:00,2,16,-22.85551263610865,11.663968593967,0.2021714547111083,100,20.217145471110832,2.7360931085685865,9.634997983422652e+18,9.634997983422652e+18,3.886575651433775e+18,0.009346717659598464,0.009346717659598464
2023-01-03 17:00:00,2,17,-22.85551263610865,0.5856162651631565,0.010220754022141,100,1.0220754022141092,0.1383228640478213,4.870961854288797e+17,4.870961854288797e+17,1.964853731626474e+17,0.00047252220769576934,0.00047252220769576934
2023-01-03 18:00:00,2,18,-22.85551263610865,-11.28957518786531,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 19:00:00,2,19,-22.85551263610865,-23.6880127471706,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 20:00:00,2,20,-22.85551263610865,-36.42050446909524,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 21:00:00,2,21,-22.85551263610865,-49.33554170508337,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 22:00:00,2,22,-22.85551263610865,-62.253809218781214,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 23:00:00,2,23,-22.85551263610865,-74.6934344263007,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04 00:00:00,3,0,-22.76258521613636,-82.49591921613637,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04 01:00:00,3,1,-22.76258521613636,-74.64380726731427,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04 02:00:00,3,2,-22.76258521613636,-62.21896828620805,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04 03:00:00,3,3,-22.76258521613636,-49.3030579075248,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04 04:00:00,3,4,-22.76258521613636,-36.386190114603146,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04 05:00:00,3,5,-22.76258521613636,-23.649664661801573,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04 06:00:00,3,6,-22.76258521613636,-11.245551512757356,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04 07:00:00,3,7,-22.76258521613636,0.6368471708878709,0.0111148510966542,100,1.1114851096654248,0.1504231521298478,5.297066692987622e+17,5.297066692987622e+17,2.1367363509995475e+17,0.0005138577806513527,0.0005138577806513527
2023-01-04 08:00:00,3,8,-22.76258521613636,11.723945518531554,0.203196522402159,100,20.319652240215905,2.7499658911990914,9.683850207146613e+18,9.683850207146613e+18,3.906281712978429e+18,0.00939410821878457,0.00939410821878457
2023-01-04 09:00:00,3,9,-22.76258521613636,21.601000778498264,0.3681407929227135,100,36.81407929227135,4.982243848114662,1.754469147236674e+19,1.754469147236674e+19,7.077196155696088e+18,0.017019752147236472,0.017019752147236472
2023-01-04 10:00:00,3,10,-22.76258521613636,29.650430335873644,0.4947069832056375,100,49.47069832056376,6.6951309691265175,2.357652712338884e+19,2.357652712338884e+19,9.510324384165622e+18,0.022871114534255537,0.022871114534255537
2023-01-04 11:00:00,3,11,-22.76258521613636,35.04851302506509,0.5742698165436685,100,57.42698165436685,7.771896827617499,2.7368297528675422e+19,2.7368297528675422e+19,1.1039852730551325e+19,0.02654943470299992,0.02654943470299992
2023-01-04 12:00:00,3,12,-22.76258521613636,36.97074878386365,0.6014072173286186,100,60.140721732861856,8.139161609771168,2.866159980130313e+19,2.866159980130313e+19,1.156154636571213e+19,0.027804041212681208,0.027804041212681208
2023-01-04 13:00:00,3,13,-22.76258521613636,35.04851302506509,0.5742698165436685,100,57.42698165436685,7.771896827617499,2.7368297528675422e+19,2.7368297528675422e+19,1.1039852730551325e+19,0.02654943470299992,0.02654943470299992
2023-01-04 14:00:00,3,14,-22.76258521613636,29.650430335873644,0.4947069832056375,100,49.47069832056376,6.6951309691265175,2.357652712338884e+19,2.357652712338884e+19,9.510324384165622e+18,0.022871114534255537,0.022871114534255537
